	country	lineage	drug	strain	date	MDR
0	South Africa	lineage4	PYRAZINAMIDE	SAMN03648786	5.103992445169999	0
1	South Africa	lineage4	PYRAZINAMIDE	SAMEA95419918	2.14151765759	1
2	South Africa	lineage4	PYRAZINAMIDE	SAMN02053781	5.103992445169999	1
3	South Africa	lineage4	PYRAZINAMIDE	SAMN02053783	37.3084330508	1
4	South Africa	lineage4	PYRAZINAMIDE	SAMN03648604	3.4259068742000003	0
5	South Africa	lineage4	PYRAZINAMIDE	SAMEA95431918	2.1415176576	1
6	South Africa	lineage4	PYRAZINAMIDE	SAMN03648758	6.84571561741	0
7	South Africa	lineage4	PYRAZINAMIDE	SAMN03648828	8.16016327582	0
8	South Africa	lineage4	PYRAZINAMIDE	SAMN01925639	5.103992445169999	1
9	South Africa	lineage4	PYRAZINAMIDE	SAMN02053766	5.103992445169999	1
10	South Africa	lineage4	PYRAZINAMIDE	SAMN03648832	5.6876451899900005	0
11	South Africa	lineage4	PYRAZINAMIDE	SAMN02053758	4.34387353866	0
12	South Africa	lineage4	PYRAZINAMIDE	SAMN03648844	6.1901046293699995	1
13	South Africa	lineage4	PYRAZINAMIDE	SAMEA95486668	1.36093204261	1
14	South Africa	lineage4	PYRAZINAMIDE	SAMEA95428918	5.792082962239999	1
15	South Africa	lineage4	PYRAZINAMIDE	SAMN02053768	5.103992445169999	1
16	South Africa	lineage4	PYRAZINAMIDE	SAMN02053803	5.103992445159999	1
17	South Africa	lineage4	PYRAZINAMIDE	SAMN02053801	5.103992445169999	0
18	South Africa	lineage4	PYRAZINAMIDE	SAMN03648766	5.652787560959999	0
19	South Africa	lineage4	PYRAZINAMIDE	SAMN03648845	13.411810223699998	1
20	South Africa	lineage4	PYRAZINAMIDE	SAMEA95489668	1.7493025687700001	1
21	South Africa	lineage4	PYRAZINAMIDE	SAMN01925657	5.103992445169999	1
22	South Africa	lineage4	PYRAZINAMIDE	SAMN01925670	5.103992445169999	1
